Time,Channel0,Channel1,Unit: s
0,0,0,
0.00296064,1,0,
0.0041688,1,1,
0.05296048,0,1,
0.05516512,0,0,
0.10296016,1,0,
0.10416128,1,1,
0.15295984,0,1,
0.1551576,0,0,
0.20295968,1,0,
0.20415392,1,1,
0.25295936,0,1,
0.25515008,0,0,
0.30295904,1,0,
0.3041464,1,1,
0.35295888,0,1,
0.35514256,0,0,
0.40295856,1,0,
0.40413888,1,1,
0.4529584,0,1,
0.45513504,0,0,
0.50295808,1,0,
0.50413136,1,1,
0.55295776,0,1,
0.55512768,0,0,
0.6029576,1,0,
0.60412384,1,1,
0.65295728,0,1,
0.65512016,0,0,
0.70295696,1,0,
0.70411648,1,1,
0.7529568,0,1,
0.75511264,0,0,
0.80295648,1,0,
0.80410896,1,1,
0.85295632,0,1,
0.85510512,0,0,
0.902956,1,0,
0.90510144,1,1,
0.95295568,0,1,
0.9550976,0,0,
1.00295552,1,0,
1.00509392,1,1,
1.0529552,0,1,
1.05509008,0,0,
1.10295488,1,0,
1.1050864,1,1,
1.15295472,0,1,
1.15508272,0,0,
1.2029544,1,0,
1.20507888,1,1,
1.25295424,0,1,
1.2550752,0,0,
1.30295392,1,0,
1.30507136,1,1,
1.3529536,0,1,
1.35506768,0,0,
1.40295344,1,0,
1.405064,1,1,
1.45295312,0,1,
1.45506016,0,0,
1.5029528,1,0,
1.50505648,1,1,
1.55295264,0,1,
1.55505264,0,0,
1.60295232,1,0,
1.60504896,1,1,
1.65295216,0,1,
1.65504528,0,0,
1.70295184,1,0,
1.70504144,1,1,
1.75295152,0,1,
1.75503776,0,0,
1.80295136,1,0,
1.80503392,1,1,
1.85295104,0,1,
1.85503024,0,0,
1.90295072,1,0,
1.90502656,1,1,
1.95295056,0,1,
1.95502272,0,0,
2.00295024,1,0,
2.00501904,1,1,
2.05295008,0,1,
2.0550152,0,0,
2.10294976,1,0,
2.10501152,1,1,
2.15294944,0,1,
2.15500784,0,0,
2.20294928,1,0,
2.205004,1,1,
2.25294896,0,1,
2.25500032,0,0,
2.30294864,1,0,
2.30499648,1,1,
2.35294848,0,1,
2.3549928,0,0,
2.40294816,1,0,
2.40498912,1,1,
2.45294784,0,1,
2.45498528,0,0,
2.50294768,1,0,
2.5049816,1,1,
2.55294736,0,1,
2.55497776,0,0,
2.6029472,1,0,
2.60497408,1,1,
2.65294688,0,1,
2.6549704,0,0,
2.70294656,1,0,
2.70496656,1,1,
2.7529464,0,1,
2.75496288,0,0,
2.80294608,1,0,
2.80495904,1,1,
2.85294576,0,1,
2.85495536,0,0,
2.9029456,1,0,
2.90495168,1,1,
2.95294528,0,1,
2.95494784,0,0,
3.00294512,1,0,
3.00494416,1,1,
3.0529448,0,1,
3.05494032,0,0,
3.10294448,1,0,
3.10493664,1,1,
3.15294432,0,1,
3.15493296,0,0,
3.202944,1,0,
3.20492912,1,1,
3.25294368,0,1,
3.25492544,0,0,
3.30294352,1,0,
3.3049216,1,1,
3.3529432,0,1,
3.35491792,0,0,
3.40294304,1,0,
3.40491424,1,1,
3.45294272,0,1,
3.4549104,0,0,
3.5029424,1,0,
3.50490672,1,1,
3.55294224,0,1,
3.55490288,0,0,
3.60294192,1,0,
3.6048992,1,1,
3.6529416,0,1,
3.65489552,0,0,
3.70294144,1,0,
3.70489168,1,1,
