Time,Channel0,Channel2,Unit: s
7.421232224,0,1,
7.801876712,1,1,
7.92832772,1,0,
7.928342272,1,1,
7.92837044,1,0,
7.928373672,1,1,
7.928377816,1,0,
7.928385504,1,1,
7.92839964,1,0,
7.928404536,1,1,
7.928404624,1,0,
7.928406224,1,1,
7.928408112,1,0,
7.928814912,1,1,
7.928822792,1,0,
7.928829096,1,1,
7.92883012,1,0,
7.92883616,1,1,
7.928839952,1,0,
7.9288424,1,1,
7.92885932,1,0,
7.928859328,1,1,
7.928859336,1,0,
7.928859344,1,1,
7.928859352,1,0,
7.92885936,1,1,
7.928859376,1,0,
7.928877432,1,1,
7.92887864,1,0,
7.929206408,1,1,
7.92920816,1,0,
7.929212448,1,1,
7.929212544,1,0,
8.082492744,1,1,
8.204545968,0,1,
8.585215456,1,1,
8.759037024,1,0,
8.759043408,1,1,
8.759044736,1,0,
8.759050984,1,1,
8.759080784,1,0,
8.759095656,1,1,
8.759114568,1,0,
8.759128096,1,1,
8.75913724,1,0,
8.759154368,1,1,
8.759160976,1,0,
8.75916444,1,1,
8.759164616,1,0,
8.759174192,1,1,
8.75917484,1,0,
8.75917992,1,1,
8.7591824,1,0,
8.75934556,1,1,
8.759350496,1,0,
8.759365568,1,1,
8.75937236,1,0,
8.75939936,1,1,
8.759400552,1,0,
8.759447448,1,1,
8.759457008,1,0,
8.759465312,1,1,
8.759478176,1,0,
8.759482928,1,1,
8.759483,1,0,
8.759493568,1,1,
8.759495088,1,0,
8.759497872,1,1,
8.75949824,1,0,
8.75950124,1,1,
8.75950164,1,0,
8.759503696,1,1,
8.759507768,1,0,
8.759516536,1,1,
8.759520664,1,0,
8.75952572,1,1,
8.7595524,1,0,
8.75955252,1,1,
8.759565208,1,0,
8.75956688,1,1,
8.759569864,1,0,
8.759892784,1,1,
8.759893648,1,0,
8.759908416,1,1,
8.759917616,1,0,
8.75992008,1,1,
8.759920104,1,0,
8.759923976,1,1,
8.759931912,1,0,
8.759934312,1,1,
8.759939416,1,0,
8.759942128,1,1,
8.759942384,1,0,
8.759949304,1,1,
8.759953472,1,0,
8.895549264,1,1,
8.895567376,1,0,
8.895579792,1,1,
8.895583448,1,0,
8.895593896,1,1,
8.98788996,0,1,
9.368529208,1,1,
9.537139768,1,0,
9.537142872,1,1,
9.537150272,1,0,
9.53715224,1,1,
9.537180144,1,0,
9.53718424,1,1,
9.537211072,1,0,
9.537212576,1,1,
9.537217352,1,0,
9.537222744,1,1,
9.537226664,1,0,
9.537335256,1,1,
9.537339696,1,0,
9.537356992,1,1,
9.53735792,1,0,
9.537375048,1,1,
9.537376784,1,0,
9.53739056,1,1,
9.5374142,1,0,
9.537439368,1,1,
9.537444464,1,0,
9.537495384,1,1,
9.537505872,1,0,
9.53750984,1,1,
9.537512656,1,0,
9.699038368,1,1,
9.75462372,0,1,
10.15184398,1,1,
10.32045475,1,0,
10.32045796,1,1,
10.32045838,1,0,
10.32046017,1,1,
10.32046203,1,0,
10.32046382,1,1,
10.32046403,1,0,
10.32046766,1,1,
10.32049762,1,0,
10.32050231,1,1,
10.32050351,1,0,
10.32051279,1,1,
10.32052626,1,0,
10.32053276,1,1,
10.3205349,1,0,
10.3205421,1,1,
10.3205426,1,0,
10.32056454,1,1,
10.32056473,1,0,
10.320582,1,1,
10.32058273,1,0,
10.3205895,1,1,
10.32060158,1,0,
10.32060635,1,1,
10.32061385,1,0,
10.32061786,1,1,
10.32062773,1,0,
10.32063026,1,1,
10.32063305,1,0,
10.320635,1,1,
10.32063718,1,0,
10.32063966,1,1,
10.32078099,1,0,
10.32079842,1,1,
10.32081735,1,0,
10.32083358,1,1,
10.3208409,1,0,
10.32088135,1,1,
10.32088537,1,0,
10.32090153,1,1,
10.32090585,1,0,
10.3209146,1,1,
10.32094377,1,0,
10.32117553,1,1,
10.32118232,1,0,
10.3211917,1,1,
10.32119262,1,0,
10.32119531,1,1,
10.3212025,1,0,
10.32120782,1,1,
10.32120811,1,0,
10.32122818,1,1,
10.32123038,1,0,
10.47114547,1,1,
10.47115482,1,0,
10.47115986,1,1,
10.47116148,1,0,
10.47116879,1,1,
10.5045316,0,1,
10.86850766,1,1,
11.05837098,1,0,
11.05838574,1,1,
11.05841643,1,0,
11.05841894,1,1,
11.05841959,1,0,
11.05842519,1,1,
11.05842562,1,0,
11.0584292,1,1,
11.05844458,1,0,
11.05844771,1,1,
11.05845185,1,0,
11.05845802,1,1,
11.05847199,1,0,
11.05847413,1,1,
11.05849273,1,0,
11.05849608,1,1,
11.05849799,1,0,
11.05850598,1,1,
11.05850734,1,0,
11.05851717,1,1,
11.05851853,1,0,
11.05852806,1,1,
11.05853291,1,0,
11.05853542,1,1,
11.05853658,1,0,
11.05854577,1,1,
11.05854915,1,0,
11.05866912,1,1,
11.05866928,1,0,
11.20649278,1,1,
11.23790111,0,1,
11.60182214,1,1,
11.7789259,1,0,
11.77893001,1,1,
11.7789384,1,0,
11.7789399,1,1,
11.77896598,1,0,
11.77897013,1,1,
11.7789941,1,0,
11.77899793,1,1,
11.77899954,1,0,
11.77916793,1,1,
11.77917338,1,0,
11.77917474,1,1,
11.77917835,1,0,
11.77917978,1,1,
11.77918086,1,0,
11.77918688,1,1,
11.7791884,1,0,
11.77918985,1,1,
11.77919086,1,0,
11.77920758,1,1,
11.77920771,1,0,
11.7792119,1,1,
11.77921428,1,0,
11.77922576,1,1,
11.77922874,1,0,
11.77924374,1,1,
11.77924417,1,0,
11.77924898,1,1,
11.7792503,1,0,
11.77926402,1,1,
11.77926647,1,0,
11.93334399,1,1,
11.93334874,1,0,
11.93364614,1,1,
11.9336646,1,0,
11.93367095,1,1,
11.93367201,1,0,
11.93367601,1,1,
11.95456702,0,1,
12.31848683,1,1,
12.52444824,1,0,
12.52445078,1,1,
12.5244539,1,0,
12.52445729,1,1,
12.52445838,1,0,
12.52446002,1,1,
12.52449009,1,0,
12.52449382,1,1,
12.52449383,1,0,
12.52450471,1,1,
12.52452126,1,0,
12.52452567,1,1,
12.52452941,1,0,
12.52453603,1,1,
12.52454158,1,0,
12.52455682,1,1,
12.52455793,1,0,
12.52456914,1,1,
12.52456941,1,0,
12.52458772,1,1,
12.52459582,1,0,
12.52459872,1,1,
12.52459926,1,0,
12.52460489,1,1,
12.52461542,1,0,
12.52462201,1,1,
12.52462237,1,0,
12.52463323,1,1,
12.524634,1,0,
12.5246477,1,1,
12.52465778,1,0,
12.52471562,1,1,
12.52472984,1,0,
12.52474628,1,1,
12.52474747,1,0,
12.52475098,1,1,
12.5247863,1,0,
12.52479174,1,1,
12.52479566,1,0,
12.52480214,1,1,
12.52483038,1,0,
12.52484296,1,1,
12.52485444,1,0,
12.52485962,1,1,
12.5248652,1,0,
12.52487314,1,1,
12.52487666,1,0,
12.52487938,1,1,
12.5248827,1,0,
12.52489153,1,1,
12.52489243,1,0,
12.66628401,1,1,
12.68784754,0,1,
13.05180127,1,1,
13.21080973,1,0,
13.2108151,1,1,
13.21082088,1,0,
13.21082395,1,1,
13.21086623,1,0,
13.21086959,1,1,
13.2108762,1,0,
13.21088009,1,1,
13.2109029,1,0,
13.21090654,1,1,
13.21090811,1,0,
13.21091274,1,1,
